"Genero","Altura","Peso","Duracao","Batimento.Cardiaco","Temperatura.Corporal","Calorias","Idade"
"masculino",179,90,3,82,38.8,14,"70-79"
"masculino",195,91,6,81,39.4,12,"20-29"
"feminino",169,67,3,85,38.5,12,"30-39"
"masculino",203,NA,8,88,39.8,30,"20-29"
"feminino",171,71,5,94,39.2,26,"50-59"
"feminino",156,56,5,85,39,23,"60-69"
"masculino",189,NA,3,91,38.3,14,"40-49"
"masculino",183,88,6,78,39.4,11,"20-29"
"feminino",180,77,5,78,39,14,"20-29"
"feminino",155,57,5,89,39.2,23,"40-49"
"masculino",179,85,7,85,39.3,30,"50-59"
"masculino",172,NA,7,87,39.3,22,"30-39"
"feminino",170,73,8,82,39.6,27,"20-29"
"feminino",143,46,4,84,38.4,16,"20-29"
"feminino",167,63,6,84,39.5,24,"40-49"
"feminino",163,59,6,76,39.5,19,"30-39"
"feminino",182,71,7,89,39.6,29,"20-29"
"feminino",174,NA,4,88,38.7,19,"60-69"
"feminino",167,64,5,86,39.1,20,"20-29"
"feminino",151,58,2,75,38,7,"60-69"
"feminino",153,52,2,81,37.9,8,"60-69"
"masculino",158,58,11,79,39.7,13,"20-29"
"masculino",167,66,5,83,39.3,12,"30-39"
"feminino",185,80,8,91,39.4,33,"20-29"
"masculino",202,NA,5,81,39.3,15,"30-39"
"feminino",159,56,2,89,38,8,"20-29"
NA,169,68,7,88,39.3,29,"30-39"
"masculino",173,79,2,76,38.1,3,"20-29"
"feminino",162,63,6,NA,39.3,19,"40-49"
NA,145,48,4,90,38.9,19,"30-39"
"feminino",155,55,3,80,38.3,10,"20-29"
"feminino",176,71,7,87,39.4,33,"70-79"
"masculino",198,101,7,86,39.1,21,"20-29"
"masculino",170,79,2,91,38.3,11,"60-69"
"feminino",174,72,5,89,39.3,20,"20-29"
"feminino",NA,57,4,80,38.9,13,"20-29"
"feminino",164,61,7,82,39.6,24,"20-29"
"masculino",188,81,8,92,39.6,30,"20-29"
"masculino",194,95,9,83,39.8,22,"20-29"
"masculino",176,73,3,84,39.1,6,"20-29"
"feminino",176,73,5,85,38.9,22,"70-79"
"feminino",156,54,5,81,39,18,"30-39"
"masculino",180,84,2,77,38.3,5,"40-49"
"masculino",179,84,2,NA,38.2,9,"70-79"
"masculino",187,93,7,84,39.5,23,"30-39"
"feminino",162,64,3,87,38.5,14,"70-79"
"masculino",168,72,2,79,38.4,7,"60-69"
"feminino",161,63,2,81,38.1,7,"30-39"
"feminino",150,53,5,82,38.8,21,"50-59"
"masculino",187,88,4,82,39.1,15,"50-59"
"masculino",165,66,2,83,38.6,7,"50-59"
"masculino",188,93,9,87,39.7,32,"30-39"
"masculino",176,76,3,81,38.8,10,"50-59"
"masculino",191,89,5,83,39.3,15,"30-39"
"masculino",181,NA,1,85,37.4,3,"30-39"
"masculino",183,91,1,84,37.9,5,"60-69"
"feminino",158,63,3,80,38.6,10,"20-29"
"masculino",217,118,4,85,39.1,19,"50-59"
"feminino",173,67,3,83,38.4,13,"70-79"
"masculino",194,99,1,78,37.7,2,"20-29"
"masculino",194,94,2,83,38.1,6,"30-39"
"masculino",193,93,2,88,38,11,"70-79"
"masculino",203,NA,4,85,38.9,17,"50-59"
"masculino",178,82,4,87,38.7,12,"20-29"
"masculino",172,70,6,85,39.5,17,"30-39"
"feminino",158,62,4,80,38.6,14,"40-49"
"masculino",183,83,2,92,38.3,9,"40-49"
"masculino",176,73,4,89,38.8,17,"40-49"
"masculino",176,77,2,85,38.3,7,"40-49"
"masculino",193,98,2,83,38.1,7,"40-49"
"feminino",184,77,1,79,38.1,4,"60-69"
"masculino",181,87,3,82,38.4,13,"70-79"
"masculino",178,86,4,85,38.8,12,"30-39"
"feminino",176,76,8,87,39.9,33,"40-49"
"feminino",157,66,6,83,39.3,25,"50-59"
"feminino",150,55,5,80,39,21,"70-79"
"feminino",169,64,2,75,38.2,5,"20-29"
"masculino",184,83,5,91,39.1,28,"60-69"
"feminino",162,62,7,83,39.7,30,"60-69"
"feminino",169,67,7,85,39.4,30,"50-59"
"feminino",176,66,6,86,39.6,23,"20-29"
"masculino",184,87,5,87,39.1,28,"70-79"
"feminino",166,65,6,83,39.2,23,"40-49"
"masculino",211,113,7,81,39.4,25,"40-49"
"masculino",189,91,6,87,39,19,"20-29"
"feminino",179,73,5,85,39.1,20,"40-49"
"masculino",187,87,2,83,38.2,6,"30-39"
"feminino",167,70,6,86,39.3,25,"40-49"
"masculino",180,77,6,81,39.3,11,"20-29"
"feminino",158,62,2,79,38.2,8,"60-69"
"masculino",187,87,1,70,37.7,2,"40-49"
"masculino",202,105,7,86,39.6,32,"50-59"
"feminino",174,73,3,NA,38.2,13,"20-29"
"masculino",205,110,5,78,39,11,"20-29"
"masculino",180,82,3,83,39,8,"30-39"
"feminino",194,81,7,81,39.4,23,"30-39"
"masculino",158,65,9,87,39.4,24,"20-29"
"masculino",195,NA,4,77,39,9,"30-39"
"masculino",197,89,9,83,39.8,21,"20-29"
"masculino",193,99,3,81,38.3,11,"50-59"
"feminino",165,69,4,86,38.7,19,"70-79"
"feminino",161,55,3,83,38.3,11,"20-29"
"feminino",173,73,7,85,39.1,25,"20-29"
"masculino",183,81,8,78,39.7,15,"30-39"
"feminino",164,62,2,84,38.5,8,"40-49"
"feminino",182,81,4,92,39.1,18,"30-39"
"masculino",187,85,9,75,39.9,10,"20-29"
NA,190,95,5,82,39,20,"50-59"
"masculino",173,70,1,79,37.7,1,"20-29"
"masculino",NA,85,3,87,38.2,9,"20-29"
"masculino",177,77,3,77,38.3,10,"60-69"
"masculino",203,103,2,74,38.2,4,"30-39"
"masculino",184,86,8,96,39.4,35,"20-29"
"feminino",168,69,6,86,39,24,"30-39"
NA,163,60,4,82,38.7,14,"20-29"
"feminino",158,54,4,91,38.9,20,"40-49"
"feminino",170,59,6,83,39.3,21,"20-29"
"masculino",174,80,2,89,38.1,8,"40-49"
"masculino",181,82,3,83,38.6,7,"20-29"
"masculino",190,94,8,86,39.8,35,"50-59"
"feminino",178,70,5,81,39.5,16,"20-29"
"feminino",169,69,1,82,38,4,"50-59"
"feminino",148,47,8,87,39.5,33,"20-29"
"masculino",178,84,1,79,37.7,3,"40-49"
"feminino",160,60,2,80,38.2,7,"20-29"
"masculino",169,73,10,85,39.8,25,"20-29"
"feminino",157,59,3,85,38.6,12,"40-49"
"feminino",157,61,5,77,39.2,19,"70-79"
"masculino",189,93,3,76,38.4,4,"20-29"
NA,171,64,6,89,39.6,28,"40-49"
"masculino",179,82,6,87,39.1,19,"30-39"
"feminino",160,59,7,81,39.8,26,"40-49"
"masculino",186,NA,7,84,39.4,28,"50-59"
"masculino",184,88,4,89,39.2,17,"40-49"
"masculino",194,93,8,90,39.6,28,"20-29"
"masculino",163,62,4,86,38.3,9,"20-29"
"feminino",162,NA,7,88,39.4,32,"50-59"
"feminino",180,76,8,86,39.3,33,"50-59"
"feminino",166,71,5,98,38.9,30,"70-79"
"masculino",169,76,8,78,39.4,25,"50-59"
"masculino",183,88,6,88,38.8,22,"30-39"
"masculino",190,90,4,86,39.1,15,"40-49"
"feminino",176,73,3,82,38.8,11,"30-39"
"masculino",200,100,7,85,39.5,25,"30-39"
"masculino",177,81,1,78,37.7,2,"20-29"
"masculino",179,73,5,85,39.2,14,"30-39"
"feminino",165,61,1,86,38,4,"40-49"
"masculino",203,99,3,87,38.5,11,"30-39"
"masculino",183,84,1,76,37.8,1,"20-29"
"feminino",159,60,7,94,39.4,34,"20-29"
"masculino",201,104,7,78,39.6,28,"60-69"
"masculino",178,76,8,81,39.9,17,"30-39"
"feminino",170,64,2,79,38.1,6,"20-29"
"feminino",149,NA,6,87,39.5,27,"40-49"
"feminino",166,70,4,87,38.8,17,"40-49"
"feminino",156,56,6,89,39.4,27,"30-39"
"masculino",175,79,6,86,39.4,30,"70-79"
"masculino",174,76,5,NA,39.4,15,"20-29"
"feminino",NA,80,2,83,38.5,8,"40-49"
"masculino",189,91,5,81,39.1,21,"60-69"
"feminino",169,62,4,75,39.2,11,"30-39"
"masculino",175,70,8,90,39.3,25,"20-29"
"feminino",158,56,9,85,39.5,35,"20-29"
"masculino",200,94,6,81,39.2,13,"20-29"
"feminino",162,56,5,81,39.1,17,"20-29"
"masculino",176,NA,3,83,38.4,12,"60-69"
"feminino",148,48,2,85,38.2,8,"30-39"
"feminino",160,65,5,83,39.1,21,"60-69"
"feminino",153,58,5,78,38.9,20,"70-79"
"feminino",154,57,4,86,38.9,18,"50-59"
"masculino",175,73,9,91,39.7,32,"20-29"
"masculino",195,95,10,82,40,35,"40-49"
NA,161,62,6,90,39.2,31,"70-79"
"masculino",178,85,6,79,39.3,19,"50-59"
"masculino",177,84,7,82,39.4,21,"40-49"
"masculino",165,72,6,81,39.5,13,"30-39"
"feminino",169,66,5,75,39,14,"30-39"
"feminino",172,70,2,96,38.6,11,"50-59"
"feminino",170,67,4,91,39,17,"20-29"
"masculino",NA,91,7,76,39.6,10,"20-29"
"masculino",176,76,10,NA,39.8,20,"20-29"
"masculino",180,89,4,81,38.8,14,"50-59"
"masculino",169,72,2,82,38.3,4,"20-29"
"masculino",170,NA,5,86,39,14,"30-39"
"feminino",NA,62,5,80,38.8,17,"30-39"
"masculino",204,114,3,78,38.9,12,"60-69"
"feminino",151,54,4,79,38.6,15,"50-59"
"masculino",NA,89,7,80,39.2,13,"20-29"
"feminino",155,56,6,82,38.7,26,"60-69"
"masculino",182,86,2,94,38.3,11,"50-59"
"feminino",165,69,3,74,38.5,9,"40-49"
"feminino",164,NA,2,79,38.1,8,"60-69"
"feminino",166,69,8,81,39.4,29,"40-49"
"feminino",176,73,9,80,39.6,29,"30-39"
"masculino",188,82,5,84,39,16,"40-49"
"masculino",196,95,10,89,40,33,"20-29"
"masculino",177,NA,2,85,38.1,5,"20-29"
"masculino",188,NA,2,85,38.1,5,"20-29"
"masculino",175,79,4,84,38.8,20,"70-79"
"feminino",168,65,5,81,38.8,21,"70-79"
"masculino",187,92,3,81,38.8,12,"60-69"
"masculino",178,85,8,84,39.2,35,"60-69"
"masculino",183,83,8,93,39.7,33,"30-39"
"feminino",173,62,5,87,39.5,21,"30-39"
"feminino",180,73,6,87,39.4,27,"50-59"
"feminino",173,75,2,77,38.7,6,"30-39"
"masculino",179,81,7,86,39.4,26,"40-49"
"feminino",164,64,4,93,38.8,20,"40-49"
"masculino",198,97,1,82,37.4,3,"30-39"
"feminino",156,55,5,74,39.1,16,"50-59"
"feminino",174,66,7,83,39.5,30,"60-69"
"feminino",NA,60,3,84,38.4,11,"20-29"
"masculino",197,97,5,91,39.3,32,"70-79"
NA,170,67,5,77,39.1,15,"20-29"
"masculino",191,NA,4,87,38.7,23,"70-79"
"feminino",171,68,7,84,39.8,30,"60-69"
"feminino",179,70,2,72,38.3,5,"30-39"
"masculino",168,73,8,87,39.4,35,"50-59"
"masculino",181,81,4,79,38.6,12,"50-59"
"masculino",182,83,5,83,39.1,15,"30-39"
"feminino",165,64,6,82,39.4,23,"50-59"
NA,145,50,3,82,38.6,13,"60-69"
"masculino",166,74,7,88,39.7,29,"50-59"
"feminino",166,65,5,90,39.4,22,"30-39"
"masculino",181,80,2,89,38.3,7,"30-39"
"feminino",183,71,5,88,39.2,22,"40-49"
NA,186,85,13,83,40,32,"20-29"
"feminino",159,63,8,84,39.7,34,"50-59"
"feminino",159,61,7,88,39.5,29,"20-29"
"feminino",153,50,3,82,38.1,11,"20-29"
"masculino",181,81,6,83,39.5,19,"40-49"
"feminino",179,75,2,77,38.3,6,"20-29"
"feminino",148,53,5,74,39.5,14,"30-39"
"feminino",169,63,2,81,37.8,7,"20-29"
"feminino",167,69,5,93,39.2,27,"70-79"
"masculino",181,82,9,79,39.8,27,"50-59"
"feminino",177,74,8,84,39.7,31,"40-49"
"feminino",172,72,4,NA,39.2,13,"30-39"
"masculino",179,77,4,72,38.4,6,"40-49"
"feminino",182,74,7,88,39.3,28,"20-29"
"feminino",189,79,5,94,38.9,22,"20-29"
"feminino",169,72,6,87,39.4,28,"70-79"
"masculino",193,88,1,84,37.7,3,"20-29"
"feminino",173,66,4,81,38.9,15,"40-49"
"masculino",177,84,8,84,39.7,26,"40-49"
"masculino",185,90,8,86,39.6,23,"20-29"
"masculino",172,81,5,82,38.9,15,"40-49"
"feminino",171,68,6,87,39.2,24,"20-29"
"feminino",161,59,2,79,38,8,"70-79"
"feminino",170,73,6,93,39.3,32,"60-69"
"masculino",180,82,3,86,38.9,11,"40-49"
"feminino",152,56,3,80,38.9,11,"30-39"
"feminino",167,67,2,86,38.4,9,"70-79"
"feminino",163,59,4,86,38.8,16,"20-29"
"masculino",179,87,7,84,39.5,27,"50-59"
"masculino",183,94,5,84,39.2,23,"60-69"
"masculino",160,61,1,77,37.7,1,"20-29"
"feminino",NA,59,1,87,38,4,"20-29"
"masculino",174,78,7,98,39.4,35,"30-39"
"feminino",153,56,8,86,39.4,34,"30-39"
"feminino",160,60,4,83,39,16,"40-49"
"feminino",155,NA,5,81,39,20,"50-59"
"feminino",170,73,5,90,39.1,25,"70-79"
"masculino",NA,83,3,83,38.7,15,"70-79"
"masculino",186,91,5,84,39.1,26,"70-79"
"feminino",159,58,1,80,37.5,3,"20-29"
"feminino",165,62,7,85,39.3,27,"30-39"
"masculino",188,89,5,83,39,15,"30-39"
"feminino",178,80,5,89,39.4,20,"20-29"
"masculino",170,NA,5,89,38.9,27,"70-79"
"feminino",159,NA,7,89,39,30,"20-29"
"masculino",165,65,9,89,39.6,24,"20-29"
"feminino",180,72,4,90,38.6,16,"20-29"
"masculino",182,81,4,72,38.5,4,"30-39"
"feminino",155,55,2,87,37.9,9,"40-49"
"masculino",176,82,9,83,40,31,"40-49"
"masculino",199,97,6,87,39.2,19,"20-29"
"masculino",194,NA,6,86,39.5,22,"30-39"
"feminino",NA,61,3,84,38.8,12,"40-49"
"feminino",148,NA,7,NA,39.2,30,"30-39"
"feminino",175,75,3,76,38.9,9,"40-49"
"masculino",166,71,3,67,38.7,5,"60-69"
"feminino",159,58,3,78,38.3,9,"20-29"
"masculino",189,95,5,77,38.8,20,"70-79"
"feminino",169,71,4,77,38.8,11,"20-29"
"masculino",194,97,5,80,39.2,20,"60-69"
"feminino",168,66,4,87,38.5,16,"20-29"
"feminino",169,64,2,83,37.9,7,"20-29"
"masculino",187,84,9,80,39.7,18,"20-29"
"masculino",162,68,4,80,38.8,7,"30-39"
"feminino",NA,79,4,76,38.8,10,"20-29"
"feminino",181,74,8,84,39.9,30,"30-39"
"feminino",166,68,8,90,39.3,34,"20-29"
"feminino",155,53,4,88,38.7,17,"20-29"
"feminino",182,78,5,83,39.3,18,"30-39"
"masculino",181,86,4,NA,39.1,19,"60-69"
"masculino",176,71,2,82,38.5,4,"20-29"
"feminino",160,61,6,83,38.9,22,"20-29"
"feminino",146,50,6,83,39.2,23,"20-29"
"masculino",192,94,4,84,38.8,13,"30-39"
"masculino",190,93,3,77,38.4,5,"20-29"
"masculino",176,79,9,90,39.6,29,"20-29"
"masculino",182,NA,8,91,39.5,28,"20-29"
"feminino",173,63,2,84,38.3,8,"30-39"
"feminino",150,58,4,79,38.9,13,"30-39"
"feminino",173,75,3,81,38.5,11,"40-49"
"feminino",171,70,2,81,37.9,7,"50-59"
"masculino",184,88,1,86,37.7,3,"20-29"
"masculino",173,79,12,79,40.3,23,"30-39"
"masculino",178,77,4,NA,38.5,14,"40-49"
"masculino",NA,98,10,85,39.7,35,"30-39"
"feminino",165,63,4,88,39,16,"20-29"
"masculino",191,85,2,81,37.9,7,"50-59"
NA,183,85,3,83,38.5,7,"20-29"
"masculino",191,95,2,83,38.5,7,"40-49"
"masculino",186,85,8,88,39.5,28,"30-39"
"feminino",141,46,6,86,39.5,28,"60-69"
"feminino",156,NA,3,84,38.2,11,"20-29"
"masculino",181,78,1,80,37.8,3,"40-49"
"feminino",156,55,2,76,38.8,7,"50-59"
"feminino",170,68,3,82,38.8,12,"60-69"
"feminino",148,48,8,88,39.4,34,"20-29"
"feminino",166,64,3,93,38.6,14,"20-29"
"feminino",171,72,6,80,39.2,23,"60-69"
"masculino",175,77,6,86,39.5,20,"30-39"
"feminino",170,72,6,89,38.9,26,"30-39"
"feminino",163,60,5,85,39.3,23,"60-69"
NA,165,71,3,86,38.6,13,"50-59"
"masculino",192,89,10,89,39.6,31,"20-29"
"masculino",192,98,5,79,39.4,13,"30-39"
"masculino",168,72,6,86,39.4,17,"20-29"
"feminino",146,49,3,83,38.8,12,"40-49"
"masculino",183,80,3,78,38.3,5,"20-29"
"masculino",184,93,3,84,38.5,12,"50-59"
"feminino",172,65,6,92,39.3,28,"30-39"
"masculino",183,85,3,81,38.8,9,"40-49"
"feminino",159,53,6,87,39.5,29,"60-69"
"masculino",NA,76,4,94,38.8,24,"60-69"
"masculino",NA,86,3,81,38.6,11,"50-59"
"feminino",NA,67,5,82,39.2,19,"40-49"
"masculino",193,99,5,89,39.3,28,"60-69"
"feminino",164,65,6,85,39.2,22,"20-29"
"masculino",190,89,2,81,38.1,6,"40-49"
"feminino",179,76,6,84,39.4,24,"50-59"
"masculino",186,93,6,90,39.4,30,"50-59"
"feminino",179,NA,6,82,39.4,21,"30-39"
"feminino",160,60,5,79,39,19,"50-59"
"feminino",175,71,7,NA,39.5,30,"20-29"
"feminino",168,69,3,83,38.1,10,"20-29"
NA,163,66,7,87,39.3,28,"20-29"
"feminino",157,NA,1,77,37.9,3,"40-49"
"masculino",188,89,1,77,37.7,2,"30-39"
"masculino",210,117,4,76,39,10,"30-39"
"masculino",183,84,7,84,39.5,26,"50-59"
"masculino",164,68,8,81,39.8,27,"50-59"
"masculino",186,84,8,81,39.5,25,"40-49"
"feminino",167,63,5,91,39.2,23,"30-39"
"masculino",185,NA,4,94,39.1,20,"40-49"
"masculino",177,77,7,87,39.3,19,"20-29"
"feminino",173,63,3,82,38.7,11,"30-39"
"masculino",179,76,5,85,39.4,16,"40-49"
